
-- 1 --
Type: 0 | Pos: 1.0 2.0 | Vel: -9.271072723545778e-11 -6.101151048575636e-11 
Type: 0 | Pos: 12.0 10.0 | Vel: -9.582165698102365e-11 4.0772247185059515e-10 
Type: 0 | Pos: 1.0 6.0 | Vel: 1.695934166494178e-10 3.996172455075115e-10 
Type: 0 | Pos: 1.0 7.0 | Vel: 2.316390117918425e-10 -2.918924828135894e-10 
Type: 0 | Pos: 1.0 15.0 | Vel: -1.8273291980702337e-11 6.056558611678257e-10 
-- 1 --
Type: 0 | Pos: 1.0000005496640778 1.998039595634744 | Vel: 1.5474470278944609e-06 0.40804828485534816 
Type: 0 | Pos: 11.999991076915206 10.000001874007905 | Vel: -3.065117315570016e-05 6.198364430974415e-07 
Type: 0 | Pos: 1.0000027449333344 13.001640279815149 | Vel: 1.306263298105834e-05 53.592207607742694 
Type: 0 | Pos: 1.0000037038093623 0.00033144654769401427 | Vel: 8.511084367398095e-06 -54.41047422828298 
Type: 0 | Pos: 1.0000019247752328 14.999986804524557 | Vel: 7.530203206101518e-06 0.4102177169085865 
-- 2 --
Type: 0 | Pos: 1.0000015474470278 2.408048284855348 | Vel: 3.154351625934798e-06 0.8584050956095357 
Type: 0 | Pos: 11.999969348826845 10.000000619836442 | Vel: -5.598332380122366e-05 -5.989239798463875e-06 
Type: 0 | Pos: 1.000013062632981 19.592207607742694 | Vel: 2.1173618934049878e-05 53.14529559754768 
Type: 0 | Pos: 1.0000085110843677 12.589525771717021 | Vel: 1.7840885149930056e-05 -54.85954013001849 
Type: 0 | Pos: 1.000007530203206 15.410217716908587 | Vel: 1.4481481532600492e-05 0.8558447380967908 
-- 3 --
Type: 0 | Pos: 1.000003704015704 2.85644469124428 | Vel: 4.551998612829561e-06 0.7199258168007491 
Type: 0 | Pos: 11.999935093591406 9.999995884768104 | Vel: -8.267678281471369e-05 -5.334303077703739e-06 
Type: 0 | Pos: 1.0000239185522686 6.146935877362829 | Vel: -8.569858510533891e-05 5.122789051475472 
Type: 0 | Pos: 1.0000215446945124 5.140791316529205 | Vel: 0.0001446543139992128 -6.733872386887377 
Type: 0 | Pos: 1.0000164062567654 15.855831542621349 | Vel: 2.0502887763841092e-05 0.8911614758455828 
-- 4 --
Type: 0 | Pos: 1.0000060994456408 3.127974101656097 | Vel: 9.644049618454022e-05 -1.3677762760577874 
Type: 0 | Pos: 11.999886672044031 9.999995285533362 | Vel: -0.00010961210422764162 3.006818711400476e-06 
Type: 0 | Pos: 0.9999273640478757 4.714996659218169 | Vel: -0.0006734043538162794 -42.97755078537218 
Type: 0 | Pos: 1.0001531653983669 5.855653384829644 | Vel: 0.000662366628922035 43.45432945286671 
Type: 0 | Pos: 1.0000280330909699 16.301379192754172 | Vel: 2.554316539317674e-05 0.8909932246758929 
-- 5 --
Type: 0 | Pos: 1.0001001445118884 1.488668415186492 | Vel: 0.0007683125868148778 -4.576581472233393 
Type: 0 | Pos: 11.999825481487179 9.999998891586817 | Vel: -0.00013723153445340073 9.608029668333813e-06 
Type: 0 | Pos: 0.9993505141984522 3.169385091990648 | Vel: -0.0017313164499552511 -41.79258295115586 
Type: 0 | Pos: 1.0006839113234343 8.595120769395916 | Vel: 0.0010718412068989134 45.47935966472102 
Type: 0 | Pos: 1.0000419494221584 16.746824767297245 | Vel: 2.9728023150691983e-05 0.8897937735699095 
-- 6 --
Type: 0 | Pos: 1.0007744120324558 18.551392629422704 | Vel: 0.0036100218201736405 -1.5875260251193066 
Type: 0 | Pos: 11.999749440509579 10.000004893563032 | Vel: -0.00016649323140015265 9.696530019720418e-06 
