type 0 | 8.113376752791547 6.259780639500699
type 0 | 11.217047878704062 23.084250792824186
type 0 | 7.053889118088437 20.449968217461993
type 0 | 0.08262713718745207 27.95712702326286
type 0 | 25.95000598564557 19.594923945246425
type 0 | 17.946160860960685 16.013695766901474
type 0 | 1.4329903097567842 25.116655626841535
type 0 | 1.3887903329213314 8.71538855030639
type 0 | 20.023256517164302 22.422418087840857
type 0 | 10.053328124104683 10.64583047074445
type 0 | 8.922918189821742 17.53836104346463
type 0 | 15.722461895146038 1.5941425967561174
type 0 | 4.174872994085438 18.888546238984443
type 0 | 11.981588331280657 23.77235438199505
type 0 | 19.65969291614277 28.624534416155733
type 0 | 0.07446571785737377 12.001054018953175
type 0 | 22.304749278816296 12.133900219414302
type 0 | 19.03981515140606 6.344306004819478
type 0 | 19.663091661880586 23.60985573041043
type 0 | 24.33221071382823 4.67698386004376
type 0 | 16.409344624955295 13.068224337728047
type 0 | 28.953085265220984 1.5141060235891446
type 0 | 7.741878535636086 19.08921653131057
type 0 | 4.1272438253752455 7.404372811558009
type 0 | 28.914354434462048 22.717768484517244
type 0 | 13.996463800166211 12.460710612857891
type 0 | 5.429250128833077 5.71440061686779
type 0 | 0.6146448188133136 4.372470400408294
type 0 | 27.263248854116068 18.3895913178475
type 0 | 6.001393608429578 1.2909232041875318
type 0 | 9.962991933015042 26.49243208135308
type 0 | 23.728615157585203 13.173450495796875
type 0 | 26.58643649622943 14.31844259725327
type 0 | 0.6370833378063223 24.43306107194042
type 0 | 24.88262784884202 23.141979716670257
type 0 | 27.06368759485288 12.6614105049282
type 0 | 5.061519690376985 5.065584481036658
type 0 | 29.876158869066877 28.65825914517532
type 0 | 11.977603651974277 8.642369457892377
type 0 | 10.61879989682955 14.331515563049253
type 0 | 11.686131646680815 22.65455676811421
type 0 | 2.93396363732775 19.50116370341348
type 0 | 28.66953841866519 2.5028616583207652
type 0 | 9.778072004745491 0.5512745689874421
type 0 | 10.414169652198309 11.663733903159844
type 0 | 22.14529193633343 8.56575814167057
type 0 | 20.09439696684382 26.863276991380438
type 0 | 22.87031599556699 0.32483411823893693
type 0 | 19.81029508988704 26.749350580317383
type 0 | 21.428186808469533 3.4983666604250696
